Age,primary_streaming_service,hours_per_day,while_working,Instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,classical,country,edm,folk,gospel,hiphop,jazz,kpop,latin,lofi,metal,pop,r&b,rap,rock,video_game,anxiety,depression,insomnia,ocd,Music effects
16,Apple Music,2,TRUE,TRUE,FALSE,Classical,TRUE,FALSE,,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Never,Never,Very frequently,Sometimes,Rarely,Never,Never,0,0,1,3,Improve
18,Spotify,6,TRUE,FALSE,FALSE,Rock,TRUE,FALSE,91,Rarely,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,8,6,2,10,False effect
42,I do Falset use a streaming service.,0,,FALSE,FALSE,Rock,FALSE,TRUE,,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,9,0,10,0,False effect
23,Spotify,7,TRUE,FALSE,FALSE,Folk,TRUE,TRUE,55,Rarely,Never,Sometimes,Sometimes,Never,Very frequently,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Sometimes,6,4,2,3,Improve
23,I do Falset use a streaming service.,1,TRUE,TRUE,FALSE,Video game music,FALSE,FALSE,85,Sometimes,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Never,Never,Rarely,Sometimes,Never,7,0,0,2,Improve
19,YouTube Music,1,FALSE,TRUE,FALSE,K pop,TRUE,TRUE,160,Never,Never,Very frequently,Never,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Sometimes,Sometimes,Never,10,1,0,0,Improve
22,Pandora,1,FALSE,TRUE,FALSE,Rock,TRUE,FALSE,108,Rarely,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Sometimes,8,7,0,5,Improve
15,Other streaming service,2,TRUE,TRUE,FALSE,Rock,FALSE,FALSE,156,Never,Never,Sometimes,Sometimes,Never,Very frequently,Sometimes,Rarely,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Very frequently,Never,3,2,6,7,Improve
25,Spotify,2,FALSE,FALSE,FALSE,Metal,FALSE,TRUE,170,Rarely,Never,Never,Rarely,Never,Never,Very frequently,Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Very frequently,Sometimes,5,5,3,1,False effect
32,Spotify,5,TRUE,FALSE,FALSE,Rock,FALSE,TRUE,91,Sometimes,Never,Sometimes,Very frequently,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,10,10,3,1,Worsen
36,Spotify,6,TRUE,FALSE,FALSE,Metal,TRUE,TRUE,174,Very frequently,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,5,4,10,2,Improve
24,Spotify,3,FALSE,FALSE,FALSE,Rock,TRUE,TRUE,130,Sometimes,Never,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,0,0,8,0,False effect
29,Spotify,4,FALSE,FALSE,FALSE,Hip hop,TRUE,FALSE,140,Rarely,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,8,8,5,10,Improve
41,Apple Music,3,TRUE,TRUE,TRUE,Metal,TRUE,TRUE,130,Sometimes,Never,Very frequently,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Never,10,7,8,0,Improve
36,I do Falset use a streaming service.,2,TRUE,TRUE,TRUE,Rock,TRUE,FALSE,127,Sometimes,Never,Never,Very frequently,Never,Sometimes,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,7,3,1,1,Improve
19,YouTube Music,3,TRUE,FALSE,FALSE,Rock,TRUE,FALSE,160,Rarely,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Sometimes,Very frequently,8,7,4,0,Improve
31,Spotify,2,TRUE,FALSE,FALSE,Rock,TRUE,TRUE,,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Never,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,10,2,0,5,False effect
16,Spotify,4,TRUE,FALSE,FALSE,Rock,FALSE,TRUE,,Sometimes,Never,Never,Never,Never,Very frequently,Never,Sometimes,Never,Rarely,Never,Very frequently,Very frequently,Very frequently,Never,Sometimes,9,8,1,2,Improve
